lead_id,agency,website,contact_name,target_role,email,brand_focus,fit_tier,pain_hook,personalization_hook,channel,status,sent_date,last_touch_date,next_action,next_action_date,report_sent,call_booked,pilot_offered,pilot_status,notes
ENG-022,Major Tom,https://majortom.com,,Strategy Director,,Brand and performance mix,B,Premium presentation may resonate more than technical explanation,Lead with the report, not the system,Email,QUEUED,,,Research contact and consumer case,,No,No,No,Not offered,Premium angle
ENG-023,Single Grain,https://singlegrain.com,,Growth Lead,,Growth marketing and paid social,B,Creative diagnosis can slot into paid social motion,Keep it short and direct,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-024,Go Fish Digital,https://gofishdigital.com,,Paid Media Lead,,Performance and digital strategy,B,Creative weak points can be surfaced before launch,Pitch ENGRAM as a narrow specialist service,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-025,icepop,https://icepop.co,,Founder or Growth Lead,,Modern growth agency,B,Modern consumer creative teams may respond to a sharp proof asset,Send the compact report if they reply,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Modern agency fit
ENG-026,BlueTuskr,https://bluetuskr.com,,Founder or Paid Social Lead,,Ecommerce performance marketing,A,Ecommerce-heavy teams can use a pre-launch filter for paid social creative,Reference attention loss before the reveal,Email,QUEUED,,,Research contact and beauty case,,No,No,No,Not offered,Ecommerce-forward
ENG-027,Voy Media,https://voymedia.com,,Founder or Paid Media Lead,,Ecommerce paid social,A,Media-buying shops can use earlier creative diagnosis,Keep the pitch tightly tied to launch decisions,Email,QUEUED,,,Research contact and current ad examples,,No,No,No,Not offered,Strong paid social fit
ENG-028,Add3,https://add3.com,,Paid Social Director,,Performance marketing,B,Creative still needs a sharp pre-launch answer,Lead with one concrete drop point,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-029,Stryde,https://stryde.com,,Founder or Growth Lead,,Ecommerce growth,B,Can use ENGRAM as a specialist creative QA step,Use beauty/skincare wedge if case fits,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Ecommerce fit
ENG-030,The Snow Agency,https://thesnowagency.com,,Founder or Creative Lead,,Paid social and social commerce,A,Social-commerce creative lives or dies on early attention pressure,Pitch ENGRAM as a pre-spend repair layer,Email,QUEUED,,,Research contact and recent ad,,No,No,No,Not offered,Strong social-commerce fit
ENG-031,Ubiquitous,https://www.ubiquitousinfluence.com,,Founder or Strategy Lead,,Creator and influencer campaigns,B,Creator-led content often needs sharper breakpoint diagnosis,Frame ENGRAM around creator ad repair,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Creator adjacency
ENG-032,The Shelf,https://www.theshelf.com,,Strategy Lead,,Influencer and social campaigns,B,Influencer-heavy creative still needs a clean diagnostic layer,Lead with where the ad loses pressure,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Social adjacency
ENG-033,ThoughtShift,https://thoughtshift.co,,Founder or Client Strategy Lead,,Brand and digital growth,B,Premium report format may resonate with strategy-led teams,Keep message premium and concise,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Good presentation fit
ENG-034,SuperCharge Digital,https://superchargeagency.com,,Founder or Paid Social Lead,,Beauty and personal care marketing,A,Explicit beauty and paid social fit makes this a high-priority target,Lead with a beauty-ad breakdown immediately,Email,QUEUED,,,Research contact and beauty case,,No,No,No,Not offered,High-priority target
ENG-035,Brenton Way,https://brentonway.com,,Founder or Growth Lead,,Performance marketing and ecommerce,B,Can use ENGRAM as a pre-launch selection layer,Focus on avoided waste,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Performance fit
ENG-036,Olifant Digital,https://olifantdigital.com,,Founder or Paid Social Lead,,Ecommerce performance,B,Faster launch decisions are a useful angle here,Keep it outcome-light and practical,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Ecommerce fit
ENG-037,Pixel Theory,https://pixeltheory.co,,Founder or Strategy Lead,,Creative and digital strategy,B,Creative-focused shops can understand breakpoint diagnostics fast,Use the compact report as the hook,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Creative fit
ENG-038,BrandLume,https://brandlume.com,,Founder or Paid Media Lead,,Marketing services for growing brands,B,Volume and breadth can create room for weak creative launches,Frame ENGRAM as a narrow specialist add-on,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-039,Human Digital,https://humandigital.com,,Strategy Director,,Digital growth and media,B,Premium client-facing deliverables may resonate with consultative teams,Lead with clarity not complexity,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Consultative fit
ENG-040,MixDigital,https://mixdigital.agency,,Founder or Growth Lead,,Paid social and ecommerce,A,Good fit for a specialist pre-launch creative read,Use the curiosity-first opener,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Strong DTC fit
ENG-041,ScaledOn,https://scaledon.com,,Founder or Growth Lead,,Ecommerce growth and marketplace,B,Can still use ENGRAM where video creative matters,Use only if paid-social creative examples are available,Email,QUEUED,,,Research contact and relevance check,,No,No,No,Not offered,Secondary fit
ENG-042,ShootOrder,https://www.shootorder.com,,Paid Media Lead,,Performance marketing,B,Launch-risk reduction is the clean angle,Keep the message operational,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-043,ExpandX,https://expandx.com,,Strategy Lead,,Digital marketing and web growth,B,Needs a narrow specialist angle rather than a broad pitch,Lead with report and repair path,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-044,CrunchGrowth,https://crunchgrowth.com,,Founder or Paid Social Lead,,Paid social and ecommerce,A,Smaller focused teams may move faster on niche specialist services,Pitch limited pilot batch,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Good early-buyer fit
ENG-045,Renaissance Digital Marketing,https://renaissancedm.com,,Founder or Paid Media Lead,,Digital marketing and media,B,Use only if a relevant paid-social case is visible,Frame ENGRAM as pre-launch diagnosis,Email,QUEUED,,,Research contact and relevance check,,No,No,No,Not offered,Secondary fit
ENG-046,Surge Marketing,https://surgemarketing.com,,Founder or Paid Social Lead,,Growth and digital marketing,B,Can benefit from a specialist proof asset,Keep outreach short,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-047,Sabre Digital Marketing,https://sabredigitalmarketing.com,,Founder or Paid Media Lead,,Performance marketing,B,Needs a practical low-theory pitch,Lead with one ad-specific finding,Email,QUEUED,,,Research contact,,No,No,No,Not offered,General fit
ENG-048,Rain the Growth Agency,https://rain.agency,,Strategy Director,,Retail and ecommerce growth,B,Creative choices still need earlier diagnosis before spend,Use the compact report if a beauty case is nearby,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Ecommerce adjacency
ENG-049,Tuff,https://tuffgrowth.com,,Founder or Growth Lead,,Growth marketing,B,Smaller agile teams may respond well to a sharp proof asset,Pitch pilot as a fast decision layer,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Agile growth fit
ENG-050,Avenue Z,https://avenuez.com,,Strategy Lead,,Consumer brand growth and media,B,Premium presentation may resonate with brand-facing strategists,Keep the pitch premium and simple,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Good premium-fit target
